word,average_impact,direction
myself,0.0,Less Toxic
need,0.0,Less Toxic
needing,0.0,Less Toxic
nobody,0.0,Less Toxic
nothing,0.0,Less Toxic
nx,0.0,Less Toxic
only,0.0,Less Toxic
identical,0.0,Less Toxic
operation,0.0,Less Toxic
or,0.0,Less Toxic
other,0.0,Less Toxic
out,0.0,Less Toxic
over,0.0,Less Toxic
own,0.0,Less Toxic
page,0.0,Less Toxic
pages,0.0,Less Toxic
move,0.0,Less Toxic
more,0.0,Less Toxic
modern,0.0,Less Toxic
mine,0.0,Less Toxic
ignore,0.0,Less Toxic
image,0.0,Less Toxic
can,0.0,Less Toxic
interpretation,0.0,Less Toxic
john,0.0,Less Toxic
karwynn,0.0,Less Toxic
last,0.0,Less Toxic
least,0.0,Less Toxic
but,0.0,Less Toxic
bob,0.0,Less Toxic
list,0.0,Less Toxic
ll,0.0,Less Toxic
look,0.0,Less Toxic
able,0.0,Less Toxic
making,0.0,Less Toxic
matter,0.0,Less Toxic
me,0.0,Less Toxic
looking,0.0,Less Toxic
