word,mean_impact,std_impact,frequency,max_impact,min_impact,impact_range
suck,0.19198713972936746,0.05228050749780889,16,0.3087307118857128,0.07186078044629478,0.23686993143941804
ass,0.1887041245109262,0.10082612312009737,28,0.3190294949839814,-0.0011139904199139107,0.3201434854038953
sucks,0.1617437807158431,0.07133574965482818,10,0.272523028960251,0.04563901374613387,0.2268840152141171
shit,0.14847864933365076,0.0787021863212787,47,0.30252560392886146,0.016792371678074926,0.28573323225078656
fuck,0.14323459755671106,0.14257342618420626,137,0.46509394616396715,-0.0008196026238894273,0.46591354878785657
fucking,0.14192641445057622,0.10537159986855338,57,0.4109412263539177,-0.019305311562955077,0.4302465379168728
stupid,0.11757335126352537,0.07472597443605711,42,0.24774538797286003,0.013318839640400763,0.23442654833245927
cock,0.10701219648011,0.06357252889584454,19,0.21633974462461403,-0.003517795507803583,0.21985754013241762
child,0.0991006841848892,0.07439827599170482,9,0.23199082374155106,0.001158082449190332,0.23083274129236073
asshole,0.09550812879493237,0.04901792961744606,22,0.1862365030582946,0.02030215265454761,0.165934350403747
thank,-0.09200188006463764,0.04825959289559671,45,-0.018883751877922985,-0.21483741251553462,0.19595366063761163
die,0.09033735894080039,0.04606386796343637,13,0.1657360571509158,0.006728211090366979,0.15900784606054882
faggot,0.08771440347425413,0.07470601934212862,16,0.2085196981061846,0.007930759772876154,0.20058893833330843
dick,0.07836109714272603,0.049559693954314886,15,0.14001647630217626,-0.02892478974280061,0.16894126604497686
talk,-0.07645901045995686,0.08451633527940115,130,-0.0019212101129926654,-0.3753977213941333,0.3734765112811406
bitch,0.0725190310282343,0.08101321258724914,45,0.2610013846180245,0.0015577342451142467,0.2594436503729103
youve,0.07092290770122885,0.07880755221951605,14,0.27743917927463463,0.004045887616221595,0.27339329165841303
idiot,0.06980077540928746,0.08907209378876528,45,0.2850791600357612,2.8323472197414778e-05,0.28505083656356384
sex,0.06880354852805275,0.06775588632333839,12,0.18815683997988714,0.0016862767257496683,0.18647056325413747
god,0.06643928182815775,0.02073518417344605,13,0.08637201351128743,0.020533756480880124,0.0658382570304073
thanks,-0.06620753596747346,0.03520536075444672,59,-0.008501286171866664,-0.15008428693278913,0.14158300076092248
youre,0.06550956739936123,0.06674512867188723,65,0.24960650910423854,-0.004854781031562067,0.2544612901358006
hell,0.05808269486900774,0.03874790640896854,21,0.17662212048896506,0.00350557540103628,0.17311654508792879
think,-0.05756440837666122,0.05432368098714829,89,0.004089718420258497,-0.22366668995252142,0.2277564083727799
ill,0.05589802182319942,0.05246884144610556,31,0.1512519276598349,-0.00445634636068671,0.1557082740205216
you,0.05517662157970487,0.058679212905992394,1483,0.2873257757948048,-0.008450806321381704,0.2957765821161865
shut,0.04885006640200562,0.02097668034147865,11,0.08056281138504376,0.01343124832146137,0.0671315630635824
talkemail,-0.04775034037058074,0.08668145990529946,7,-0.007656191466709175,-0.2599613254873085,0.25230513402059934
up,0.04722570071077559,0.028408100259535548,76,0.15012177697444276,-0.004466375982930026,0.1545881529573728
for,-0.039959908551597575,0.033812118526081736,465,0.04008913562414368,-0.1742363737570375,0.21432550938118117
gay,0.03964984538098165,0.030611226055318245,32,0.07995374556670833,0.004215558004863932,0.07573818756184439
make,-0.039523841637645996,0.036409948012226155,56,0.0027162240308172647,-0.11944499171502214,0.12216121574583941
youll,0.03778462688231005,0.03472894589399389,5,0.10708466112867493,0.016339953303823332,0.0907447078248516
off,0.03679261625312785,0.029213476340629364,55,0.13518097664187095,-0.029272976035967947,0.1644539526778389
get,0.03626970648570017,0.024651668600605057,104,0.1150622842356812,-0.0014108946792189124,0.11647317891490011
help,-0.03423009822099451,0.029355666557506703,30,-0.004541444920322521,-0.10710498748869172,0.1025635425683692
articles,-0.032628861912316384,0.03192917174693309,76,0.002800555983100466,-0.12661456316735464,0.12941511915045512
please,-0.031233673391865408,0.036775565234807336,144,0.029685490659540056,-0.15070378493558476,0.1803892755951248
any,-0.028800139561927326,0.027814896026084848,82,0.004816451513477268,-0.1151439817760849,0.11996043328956217
black,0.028747070337626125,0.01964832324687997,12,0.04572593386883706,-0.012655911517499932,0.05838184538633699
